Graph,QY Rhyme,GY Rhyme,GY Tone,GY fanqie,GY Baxter,Division,Kai/Hekou,QY Division,PingSheng Eq.,SBGY,MCI,MCF,MCT,Middle Chinese,MC/QY
匏,肴,肴,平,薄交,bæw,二,開,並,肴,154.21,b-,-aew,A,baew,bau
首,,宥,去,舒救,syuwH,三,開,書（審三）,尤,435.19,sy-,-juw,C,syuwH,śjəuᴮ
首,,有,上,書九,syuwX,三,開,書（審三）,尤,322.24,sy-,-juw,B,syuwX,
夕,,昔,入,祥易,zjiek,三,開,邪,清,519.01,z-,-jek,D,zjek,zjäk
器,,至,去,去冀,khijH (III),三,開,溪,脂,354.40,kh-,-ij,C,khijH,
慙,談,談,平,昨甘,dzam,一,開,從,談,224.38,dz-,-am,A,dzam,
圍,微,微,平,雨非,hwjɨj,三,合,云（喻三）,微,64.03,h-,-jw+j,A,hjw+j,jwei
圍,,未,去,于貴,hwjɨjH,三,合,云（喻三）,微,359.19,,,,,
軍,文,文,平,舉云,kjun,三,開,見,文,111.38,k-,-jun,A,kjun,kjuən
前,先,先,平,昨先,dzen,四,開,從,先,132.05,dz-,-en,A,dzen,dzien
認,,證,去,而證,nyingH,三,開,日,蒸,433.04,ny-,-in,C,nyinH,ńźjenᶜ
認,,震,去,而振,nyinH,三,開,日,真,392.16,,,,,
嫩,,慁,去,奴困,nwonH,一,合,泥,魂,399.22,,,,,nuənᶜ
無,虞,虞,平,武夫,mju,三,開,明,虞,72.30,m-,-ju,A,mju,mju
賢,先,先,平,胡田,hen,四,開,匣,先,133.37,h-,-en,A,hen,śjəmᴮ
高,豪,豪,平,古勞,kaw,一,開,見,豪,155.09,k-,-aw,A,kaw,kâuᶜ
高,,,,,,,,,,,,,,,kâu
諸,魚,魚,平,章魚,tsyo,三,開,章（照三）,魚,70.17,tsy-,-jo,A,tsyo,tśjwo
諸,麻,麻,平,正奢,tsyæ,三,開,章（照三）,麻,165.21,tsy-,-jo,A,tsyo,
降,江,江,平,下江,hæwng,二,開,匣,江,39.35,k-,-aewng,C,kaewngH,kåŋ
